CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
21995,Faculdade De Tecnologia Senac Curitiba,Não informado,Privada,Não,Não,Não,Faculdade,4106902.0,Curitiba,PR,Em Atividade
1768,Faculdade Regional Serrana,FUNPAC,Privada,Não,Não,Não,Faculdade,3205069.0,Venda Nova Do Imigrante,ES,Extinta
23261,Faculdade São Judas De São Bernardo Do Campo,Não informado,Privada,Não,Não,Não,Faculdade,3548708.0,São Bernardo Do Campo,SP,Em Atividade
14123,Faculdade Presidente Antônio Carlos De Bom Sucesso,FUNEES Bom Sucesso,Privada,Não,Não,Não,Faculdade,3108008.0,Bom Sucesso,MG,Extinta
17952,Faculdade De Tecnologia De Jacareí,FATEC Jacareí,Pública,Não,Não,Não,Faculdade,3524402.0,Jacareí,SP,Em Atividade
660,Faculdade Metodista Do Sul Paulista,FMSP,Privada,Não,Não,Não,Faculdade,3522406.0,Itapeva,SP,Extinta
1494,Centro Universitário Salesiano,UniSales,Privada,Não,Não,Não,Centro Universitário,3205309.0,Vitória,ES,Em Atividade
1253,Faculdade Metodista Granbery,FMG,Privada,Sim,Não,Não,Faculdade,3136702.0,Juiz De Fora,MG,Em Atividade
3363,Faculdade Guaraí,FAG,Privada,Não,Não,Não,Faculdade,1709302.0,Guaraí,TO,Em Atividade
1279,Faculdade De Itápolis - Facita,FACITA,Privada,Não,Não,Não,Faculdade,3522703.0,Itápolis,SP,Em Atividade
25613,Academia De Polícia Militar De Minas Gerais,APM,Pública,Não,Não,Não,Faculdade,3106200.0,Belo Horizonte,MG,Em Atividade
14724,"Instituto Federal De Educação, Ciência E Tecnologia Do Paraná",IFPR,Pública,Não,Não,Não,"Instituto Federal de Educação, Ciência e Tecnologia",4106902.0,Curitiba,PR,Em Atividade
3306,Faculdade De Tecnologia Ipuc,FATIPUC,Privada,Não,Não,Não,Faculdade,4304606.0,Canoas,RS,Em Atividade
18099,Faculdade De Tecnologia De Diadema Luigi Papaiz,FATEC DIADEMA,Pública,Não,Não,Não,Faculdade,3513801.0,Diadema,SP,Em Atividade
1433,Faculdade Vilas Boas,FVB,Privada,Não,Não,Não,Faculdade,3526803.0,Lençóis Paulista,SP,Em Atividade
14622,Faculdade Uniftb,Não informado,Privada,Não,Não,Não,Faculdade,2807402.0,Tobias Barreto,SE,Em Atividade
2044,Instituto Superior De Educação Vale Do Salgado,IVS,Privada,Não,Não,Não,Faculdade,2305407.0,Icó,CE,Extinta
1835,Faculdade De Colinas Do Tocantins,Não informado,Privada,Não,Não,Não,Faculdade,1705508.0,Colinas Do Tocantins,TO,Em Atividade
18736,Escola Superior De Tecnologia & Gestão De Santa Catarina,EST&G,Privada,Não,Não,Não,Faculdade,4205407.0,Florianópolis,SC,Extinta
166,"Fai - Centro De Ensino Superior Em Gestão, Tecnologia E Educação",Não informado,Privada,Não,Não,Não,Faculdade,3159605.0,Santa Rita Do Sapucaí,MG,Em Atividade
1257,"Faculdade De Administração, Ciências, Educação E Letras",FACEL,Privada,Não,Não,Não,Faculdade,4106902.0,Curitiba,PR,Extinta
1336,Centro Universitário Assis Gurgacz,FAG,Privada,Não,Não,Não,Centro Universitário,4104808.0,Cascavel,PR,Em Atividade
24214,Faculdade Dos Gênios,FAGENIUS,Privada,Não,Não,Não,Faculdade,3131307.0,Ipatinga,MG,Em Atividade
152,Faculdade De Ciências Contábeis,FACIC,Privada,Não,Não,Não,Faculdade,2927408.0,Salvador,BA,Em Atividade
627,Faculdade Cnec Varginha,Não informado,Privada,Sim,Não,Não,Faculdade,3170701.0,Varginha,MG,Em Atividade
2454,Faculdade Mafrense De Turismo E Ciências Humanas De Teresina,FAMA,Privada,Não,Não,Não,Faculdade,2211001.0,Teresina,PI,Extinta
416,Faculdade De São Paulo,FASP,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Em Atividade
18956,Faculdade De Ciências E Tecnologia De Janaúba,FACITEC,Privada,Não,Não,Não,Faculdade,3135100.0,Janaúba,MG,Em Atividade
5403,Centro Universitário Opet,Uniopet,Privada,Não,Não,Não,Centro Universitário,4106902.0,Curitiba,PR,Em Atividade
2500,Faculdade Einstein,Não informado,Privada,Não,Não,Não,Faculdade,2927408.0,Salvador,BA,Em Atividade
18734,Faculdade De Martinópolis,FAMA,Privada,Não,Não,Não,Faculdade,3529203.0,Martinópolis,SP,Em Atividade
2575,Faculdades Integradas Soares De Oliveira,FISO,Privada,Não,Não,Não,Faculdade,3505500.0,Barretos,SP,Em Atividade
21238,Faculdade Anhanguera De São José Do Rio Preto,FASJRP,Privada,Não,Não,Não,Faculdade,3549805.0,São José Do Rio Preto,SP,Em Atividade
19838,Faculdade Lusitana De Pernambuco,FALUP,Privada,Não,Não,Não,Faculdade,2604007.0,Carpina,PE,Em Atividade
4070,Escola Agrotécnica Federal De Salinas,EAFSALINAS,Pública,Não,Não,Não,Faculdade,3157005.0,Salinas,MG,Extinta
23089,Faculdade De Nova Mutum - Famutum,FAMUTUM,Privada,Não,Não,Não,Faculdade,5106224.0,Nova Mutum,MT,Em Atividade
21687,Faculdade Anhanguera Itabira,Não informado,Privada,Não,Não,Não,Faculdade,3131703.0,Itabira,MG,Em Atividade
34,Faculdade De Tecnologia De São Paulo,FATEC-SP,Pública,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Em Atividade
4024,Faculdade De Tecnologia De Mococa,FATEC,Pública,Não,Não,Não,Faculdade,3530508.0,Mococa,SP,Em Atividade
216,Centro Universitário Dom Helder,UNIDOM,Privada,Sim,Não,Não,Centro Universitário,3106200.0,Belo Horizonte,MG,Em Atividade
403,Universidade Católica De Brasília,UCB,Privada,Sim,Sim,Não,Universidade,5300108.0,Brasília,DF,Em Atividade
2620,Faculdade De Ampére,FAMPER,Privada,Não,Não,Não,Faculdade,4101002.0,Ampére,PR,Em Atividade
13735,"Faculdade De Tecnologia, Capacitação E Gestão Integral",FAINTEC,Privada,Não,Não,Não,Faculdade,4106902.0,Curitiba,PR,Extinta
21200,Faculdade Ismd,ISMD,Privada,Não,Não,Não,Faculdade,3106200.0,Belo Horizonte,MG,Em Atividade
